Index,brand,milage,fuel_type,transmission,ext_col,int_col,accident,clean_title,price,car_age,horsepower,engine_size,cylinder_count
1120,Land,86202,Gasoline,Automatic,Black,Black,None reported,Yes,18750,8,240.0,2.0,4.0
2597,Chrysler,95271,E85 Flex Fuel,Automatic,Black,Black,,,12468,9,184.0,2.4,4.0
2204,Nissan,23677,Gasoline,Automatic,Other,Other,None reported,,29510,3,,3.5,
419,Honda,160265,Gasoline,Automatic,White,Grey,Accident reported,Yes,3000,21,115.0,1.7,4.0
922,BMW,53600,Gasoline,Automatic,Silver,Black,None reported,Yes,25980,10,300.0,3.0,6.0
2921,Mercedes-Benz,88000,E85 Flex Fuel,Automatic,Silver,Grey,None reported,Yes,19500,9,302.0,3.5,6.0
477,Lexus,61000,Gasoline,Unknown,Black,Black,None reported,Yes,65000,6,471.0,5.0,8.0
2035,INFINITI,8600,Gasoline,Automatic,Black,Brown,,,78990,1,400.0,5.6,8.0
2891,Kia,46347,Gasoline,Automatic,White,Black,None reported,,46120,2,,3.8,
1692,Hyundai,117500,Gasoline,Automatic,Silver,Grey,Accident reported,Yes,6500,11,138.0,1.6,4.0
3697,Porsche,15509,Gasoline,Automatic,Green,Black,None reported,,229900,5,,4.0,
1471,Land,55000,Gasoline,Automatic,White,Other,Accident reported,Yes,58000,7,380.0,3.0,6.0
2601,RAM,95115,Diesel,Automatic,White,Black,None reported,Yes,43640,8,,6.7,
1202,Ford,121630,Gasoline,Automatic,White,Black,None reported,Yes,9450,17,210.0,4.0,6.0
2438,Subaru,15636,Gasoline,Automatic,Black,Black,None reported,,33531,3,,2.5,
2626,Audi,106000,Gasoline,Manual,Grey,Black,Accident reported,Yes,23000,10,333.0,3.0,6.0
1669,Lexus,43671,Hybrid,Automatic,Other,Red,None reported,,44950,5,,3.5,
3704,Cadillac,48000,Gasoline,Automatic,White,Black,Accident reported,Yes,24995,8,308.0,3.6,6.0
1970,Land,29700,Hybrid,Automatic,Green,Black,,,68000,4,395.0,3.0,6.0
2151,Ford,26000,Gasoline,Manual,Grey,Black,None reported,Yes,37000,7,350.0,2.3,4.0
820,Audi,72000,Gasoline,Automatic,Blue,Black,Accident reported,Yes,30000,6,354.0,3.0,6.0
1997,Porsche,52111,Gasoline,Automatic,Black,Black,Accident reported,Yes,37500,9,420.0,3.6,6.0
3831,Volkswagen,55234,Gasoline,Automatic,Grey,Black,None reported,,19290,5,,1.4,
1248,Audi,69700,Gasoline,Automatic,Orange,Other,Accident reported,Yes,23000,13,265.0,2.0,4.0
2916,Ford,23300,Gasoline,Automatic,Green,Green,None reported,Yes,67500,2,440.0,3.5,6.0
2712,Ford,15555,Gasoline,Automatic,Blue,Black,None reported,Yes,62890,3,,5.0,8.0
3549,Jeep,58500,Gasoline,Automatic,Black,Black,None reported,Yes,35000,6,285.0,3.6,6.0
2190,Ford,176691,Diesel,Automatic,White,Other,Accident reported,Yes,13000,19,325.0,6.0,8.0
3983,Ford,106000,Gasoline,Automatic,Silver,Black,Accident reported,Yes,12000,5,166.0,2.0,4.0
1046,Buick,67500,Gasoline,Automatic,Black,Other,None reported,Yes,20000,7,310.0,3.6,6.0
1888,Tesla,33500,,Automatic,Grey,Black,None reported,Yes,51900,6,518.0,,
2469,Chrysler,23152,Gasoline,Automatic,White,White,None reported,Yes,28250,4,292.0,3.6,6.0
615,BMW,7758,Gasoline,Automatic,Black,Black,None reported,,47998,2,,,
1318,Cadillac,74150,Gasoline,Automatic,Gold,Brown,None reported,Yes,45000,6,420.0,6.2,8.0
